io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84111383.231297584044972668
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84111383.231297584044972668
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84107112.149214552902299433
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84107112.149214552902299433
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84107112.149214552902299433
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84107112.149214552902299433
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84107112.149214552902299433
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84107112.149214552902299433
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84107112.149214552902299433
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84107112.149214552902299433
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84107112.149214552902299433
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84107112.149214552902299433
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   30       84107112.149214552902299433
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84107112.149214552902299433
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84107112.149214552902299433
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84107112.149214552902299433
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84107112.149214552902299433
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84120007.097432439954554726
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84120007.097432439954554726
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84119961.102367405355684868
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84119961.102367405355684868
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84119961.102367405355684868
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84119961.102367405355684868
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84119961.102367405355684868
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84119961.102367405355684868
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84115661.422582307490492611
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84115614.492811094390268353
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84115614.492811094390268353
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84115614.492811094390268353
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84115614.492811094390268353
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84115614.492811094390268353
